father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
ジョリーズヘイロー,0.18991731128300882,0.17947641436866157,0.14500941619585686,0.20939334637964774
ジョーカプチーノ,0.18586179507545672,0.1681235449021662,0.19213973799126638,0.17975567190226877
ジョービッグバン,0.04081632653061224,0.007453839890741341,0.06451612903225806,0.08333333333333333
ジヨージモナーク,0.1206896551724138,0.059080936082920844,0.23076923076923078,0.0975609756097561
ジヨージレツクス,0.13333333333333333,0.025999332600867814,0.25,0.14285714285714285
ジングウブレーブ,0.21621621621621623,0.14258114372072914,0.19444444444444445,0.24444444444444444
ジングウモアー,0.25,0.07882004566602895,0.25,0.25
ジークエンブレム,0.2909090909090909,0.1955038637317131,0.14285714285714285,0.1875
スイセイガバナー,0.25,0.05337550047023718,0.25,0.25
スイフトスワロー,0.14673913043478262,0.10622832716516242,0.1746031746031746,0.13821138211382114
スウィフトカレント,0.17918088737201365,0.15377917109340825,0.174496644295302,0.18493150684931506
スウェプトオーヴァーボード,0.18942669828427955,0.1818644509091265,0.17444289693593315,0.20257081647226852
スエヒロコマンダー,0.14049586776859505,0.1055860535328826,0.17751479289940827,0.08333333333333333
スカイアンドリュウ,0.125,0.061286728690963514,0.18421052631578946,0.08333333333333333
スカラマンガ,0.19230769230769232,0.11042333747848225,0.16666666666666666,0.21951219512195122
スキャターザゴールド,0.156056338028169,0.14211497419104155,0.11247443762781185,0.17142857142857143
スキャット,0.19047619047619047,0.0713538843086182,0.16666666666666666,0.25
スキャン,0.20981464600425404,0.2016103579745804,0.1803998049731838,0.22534883720930232
スキーキャプテン,0.14699792960662525,0.12137651310760239,0.14285714285714285,0.15625
スクラムダイナ,0.06976744186046512,0.01975080506143475,0.13043478260869565,0.07407407407407407
スクリーンヒーロー,0.23647253201156546,0.2264914354553357,0.2324397692568714,0.24310915104740904
スクワートルスクワート,0.176,0.160080572270161,0.1571969696969697,0.19300106044538706
スズカコバン,0.2260127931769723,0.1949535595486735,0.2013888888888889,0.24422442244224424
