jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
1025,3287,15581,0.21099563767000257,0.06174186509209935,15581,0.2056415768898034
1026,2053,9122,0.2251068024975353,0.07597018197763648,9122,0.2179515080523425
1027,159,1210,0.1322925225965489,0.03140495867768595,1210,0.11667428543358838
1028,112,1215,0.09328968903436989,0.023045267489711935,1215,0.07999843386193016
1029,1347,11576,0.11646378313044979,0.029198341395991707,11576,0.11159932612656023
1030,1729,8927,0.19375419744795164,0.05600985773496135,8927,0.18691570165809995
1031,1355,8943,0.1516201117318436,0.043833165604383315,8943,0.1454292240490109
1032,3910,14641,0.2670671764063353,0.09309473396625914,14641,0.26107263648726775
1033,162,1161,0.1404109589041096,0.03875968992248062,1161,0.1240539254534892
1034,1473,9744,0.15126653676545995,0.042487684729064036,9744,0.1453393148956038
1035,480,2034,0.23615874571288584,0.07669616519174041,2034,0.22084683415281223
1036,303,2162,0.14061779621945597,0.04301572617946346,2162,0.128533992566855
1037,1952,11894,0.1641878833711453,0.04935261476374643,11894,0.15863487331862808
1038,619,4465,0.13886404293381038,0.04053751399776036,4465,0.13045202798040356
1039,9,154,0.06832298136645963,0.01948051948051948,154,0.03903048802648202
1040,288,1521,0.18979057591623036,0.06180144641683103,1521,0.17352863221299172
1041,132,1014,0.13124387855044076,0.03747534516765286,1014,0.11428946882079448
1042,37,403,0.0951219512195122,0.017369727047146403,403,0.07249000320607309
1043,4235,16582,0.2554102115859907,0.0875648293330117,16582,0.24985794435126035
1044,76,755,0.10236220472440945,0.03443708609271523,755,0.08492303680361633
1045,173,1148,0.15151515151515152,0.047038327526132406,1148,0.13451801758225848
1046,496,2343,0.2119148936170213,0.08237302603499787,2343,0.19819192079444187
1047,171,1432,0.1202223766504517,0.03212290502793296,1432,0.10643121442312221
1048,236,1889,0.12552742616033755,0.03493912122816305,1889,0.11324329844295809
1049,832,5605,0.14861012116892375,0.04495985727029438,5605,0.1408724558567756
1050,347,2523,0.13794466403162056,0.031311930241775664,2523,0.12683481233883817
1051,637,5485,0.1163510560815732,0.02862351868732908,5485,0.10931508792249109
1052,273,1577,0.1736111111111111,0.05009511731135067,1577,0.15819897797929633
1053,181,1327,0.13718140929535233,0.044461190655614165,1327,0.12200808119064864
1054,308,2413,0.128099173553719,0.03812681309573145,2413,0.11710417264860738
1055,359,2048,0.175669099756691,0.05078125,2048,0.16204612663310944
1056,40,590,0.07035175879396985,0.0288135593220339,590,0.05400480005383997
1057,182,1586,0.1155053358443189,0.031525851197982346,1586,0.10261655206076808
1058,105,780,0.13595933926302414,0.03717948717948718,780,0.11641402055900313
1059,663,3845,0.17263759086188993,0.05097529258777633,3845,0.16272014625242115
1060,1,120,0.023622047244094488,0.0,120,0.006520349329625824
1061,454,4295,0.10599721059972106,0.028637951105937136,4295,0.09838367120957815
1062,1133,6782,0.16718220651053176,0.049837805956944856,6782,0.1597898962269303
1063,604,3347,0.1806797853309481,0.050791753809381536,3347,0.1698628452457411
1064,15,183,0.08947368421052632,0.0273224043715847,183,0.058123607403981224
1065,119,1105,0.10881294964028777,0.02986425339366516,1105,0.09386899758700777
1066,429,2371,0.18124474348191758,0.05314213412062421,2371,0.16840764661712712
1067,374,1647,0.22732769044740025,0.0734669095324833,1647,0.2105710944481795
1068,254,1696,0.15032295948326482,0.04481132075471698,1696,0.13631895289554322
1069,576,2755,0.20926864590876176,0.07404718693284937,2755,0.1966598677803604
1070,19,160,0.12574850299401197,0.01875,160,0.08635845680090815
1071,283,1769,0.16047297297297297,0.035613340870548335,1769,0.14637114879686852
1072,222,1673,0.13333333333333333,0.04363419007770472,1673,0.1199478194564131
1073,185,1456,0.12781954887218044,0.034340659340659344,1456,0.1137604288459998
1074,418,2321,0.18041237113402062,0.05170185264971995,2321,0.1674638338173641
1075,3408,13105,0.2600671140939597,0.08798168637924457,13105,0.25378687257433996
1076,133,929,0.14423076923076922,0.038751345532831,929,0.12579310254850623
1077,2627,12484,0.21047153950844608,0.06648510092918936,12484,0.2044987963910812
1078,130,1054,0.12441093308199812,0.018975332068311195,1054,0.10816325394083529
1079,167,1129,0.1487676056338028,0.05225863596102746,1129,0.1317662159591472
1080,256,1954,0.1315655277919429,0.03326509723643808,1954,0.1192302151511503
1081,170,1239,0.13804173354735153,0.052461662631154156,1239,0.12231066393020493
1082,56,602,0.09523809523809523,0.019933554817275746,602,0.07647123984033975
1083,116,854,0.13704994192799072,0.03629976580796253,854,0.11827303106642688
