win_prob_min,min_ev,min_odds,max_odds,tune_n_main,tune_main_hits,tune_main_roi,tune_final,valid_n_main,valid_main_hits,valid_main_roi,valid_final
0.1,2.0,3.0,50.0,36,2,-0.5777777777777777,809200.0,22,1,-0.6727272727272727,887200.0
0.15,1.5,3.0,20.0,48,4,-0.43333333333333335,809200.0,22,2,-0.4727272727272727,891600.0
0.15,1.4,7.0,30.0,30,1,-0.6933333333333334,809200.0,18,1,-0.6,891200.0
0.12,2.0,3.0,50.0,36,2,-0.5777777777777777,809200.0,22,1,-0.6727272727272727,887200.0
0.1,1.5,5.0,15.0,48,4,-0.43333333333333335,809200.0,19,1,-0.6210526315789474,890200.0
0.15,1.5,7.0,30.0,30,1,-0.6933333333333334,809200.0,18,1,-0.6,891200.0
0.12,1.4,7.0,15.0,30,1,-0.6933333333333334,809200.0,15,1,-0.52,894200.0
0.1,1.4,7.0,15.0,30,1,-0.6933333333333334,809200.0,15,1,-0.52,894200.0
0.12,2.0,5.0,50.0,36,2,-0.5777777777777777,809200.0,22,1,-0.6727272727272727,887200.0
0.12,1.5,5.0,15.0,48,4,-0.43333333333333335,809200.0,19,1,-0.6210526315789474,890200.0
0.1,2.0,5.0,50.0,36,2,-0.5777777777777777,809200.0,22,1,-0.6727272727272727,887200.0
0.1,2.0,10.0,30.0,21,0,-1.0,809000.0,15,0,-1.0,887000.0
0.12,2.0,10.0,30.0,21,0,-1.0,809000.0,15,0,-1.0,887000.0
0.15,1.2,3.0,50.0,69,8,-0.30579710144927535,808900.0,40,3,-0.595,878200.0
0.15,1.3,3.0,30.0,61,7,-0.3475409836065574,808800.0,34,2,-0.6588235294117647,879600.0
0.1,1.3,10.0,50.0,32,1,-0.66875,808600.0,20,0,-1.0,882000.0
0.12,1.2,10.0,50.0,32,1,-0.66875,808600.0,21,0,-1.0,881000.0
0.12,1.0,10.0,50.0,32,1,-0.66875,808600.0,21,0,-1.0,881000.0
0.12,1.3,10.0,50.0,32,1,-0.66875,808600.0,20,0,-1.0,882000.0
0.1,1.2,10.0,50.0,32,1,-0.66875,808600.0,21,0,-1.0,881000.0
0.1,1.1,10.0,50.0,32,1,-0.66875,808600.0,21,0,-1.0,881000.0
0.1,1.0,10.0,50.0,32,1,-0.66875,808600.0,21,0,-1.0,881000.0
0.12,1.1,10.0,50.0,32,1,-0.66875,808600.0,21,0,-1.0,881000.0
0.12,2.0,7.0,50.0,31,1,-0.7032258064516129,808200.0,21,1,-0.6571428571428571,888200.0
0.15,1.3,7.0,30.0,31,1,-0.7032258064516129,808200.0,18,1,-0.6,891200.0
0.1,2.0,7.0,50.0,31,1,-0.7032258064516129,808200.0,21,1,-0.6571428571428571,888200.0
0.15,1.4,3.0,20.0,53,5,-0.41132075471698115,808200.0,28,2,-0.5857142857142857,885600.0
0.15,1.5,7.0,50.0,31,1,-0.7032258064516129,808200.0,20,1,-0.64,889200.0
0.15,1.5,5.0,30.0,49,4,-0.4448979591836735,808200.0,22,1,-0.6727272727272727,887200.0
0.15,1.4,7.0,50.0,31,1,-0.7032258064516129,808200.0,20,1,-0.64,889200.0
0.15,1.4,5.0,20.0,49,4,-0.4448979591836735,808200.0,25,1,-0.712,884200.0
0.1,1.5,10.0,20.0,22,0,-1.0,808000.0,14,0,-1.0,888000.0
0.12,1.5,10.0,20.0,22,0,-1.0,808000.0,14,0,-1.0,888000.0
0.1,1.1,7.0,50.0,50,3,-0.442,807900.0,29,1,-0.7517241379310344,880200.0
0.12,1.1,7.0,50.0,50,3,-0.442,807900.0,29,1,-0.7517241379310344,880200.0
0.12,1.2,5.0,30.0,68,6,-0.325,807900.0,36,1,-0.8,873200.0
0.1,1.2,5.0,30.0,68,6,-0.325,807900.0,36,1,-0.8,873200.0
0.15,1.3,3.0,50.0,62,7,-0.3580645161290323,807800.0,36,2,-0.6777777777777778,877600.0
0.12,1.2,3.0,30.0,81,9,-0.2777777777777778,807500.0,46,3,-0.6478260869565218,872200.0
0.1,1.2,3.0,30.0,81,9,-0.2777777777777778,807500.0,46,3,-0.6478260869565218,872200.0
0.15,1.3,7.0,50.0,32,1,-0.7125,807200.0,20,1,-0.64,889200.0
0.12,1.5,3.0,15.0,50,4,-0.456,807200.0,21,2,-0.44761904761904764,892600.0
0.15,1.3,5.0,20.0,50,4,-0.456,807200.0,25,1,-0.712,884200.0
0.15,1.5,5.0,50.0,50,4,-0.456,807200.0,24,1,-0.7,885200.0
0.1,1.5,3.0,15.0,50,4,-0.456,807200.0,21,2,-0.44761904761904764,892600.0
0.1,1.0,3.0,15.0,105,14,-0.2180952380952381,807100.0,55,5,-0.5945454545454546,869300.0
0.12,1.0,3.0,15.0,105,14,-0.2180952380952381,807100.0,55,5,-0.5945454545454546,869300.0
0.12,1.4,10.0,20.0,23,0,-1.0,807000.0,14,0,-1.0,888000.0
0.1,1.4,10.0,20.0,23,0,-1.0,807000.0,14,0,-1.0,888000.0
0.12,1.75,10.0,30.0,23,0,-1.0,807000.0,18,0,-1.0,884000.0
0.1,1.75,10.0,30.0,23,0,-1.0,807000.0,18,0,-1.0,884000.0
0.1,1.75,5.0,30.0,45,3,-0.5222222222222223,806500.0,26,1,-0.7230769230769231,883200.0
0.12,1.75,5.0,30.0,45,3,-0.5222222222222223,806500.0,26,1,-0.7230769230769231,883200.0
0.1,1.75,3.0,30.0,45,3,-0.5222222222222223,806500.0,26,1,-0.7230769230769231,883200.0
0.12,1.75,3.0,30.0,45,3,-0.5222222222222223,806500.0,26,1,-0.7230769230769231,883200.0
0.12,1.3,3.0,30.0,74,8,-0.31891891891891894,806400.0,41,2,-0.7170731707317073,872600.0
